Bandwidth,CPU_Load,Task_Size,Mobility,Cache_Occupancy,Residual_Energy,Local_CPU,Tx_Power
57,4.918644583538903,29,0.17442069759138853,0.30542407443719655,100.0,1.778936045092601,0.5
40,6.073074434627176,31,0.07870770542358885,0.5878200195339035,98.9795918367347,1.4550705698688324,0.5
88,2.962511959649518,47,0.11801998217644245,0.8394343661130219,97.95918367346938,1.446395443955612,0.5
84,4.861532420104023,46,0.041645916402240295,0.9409505916420972,96.93877551020408,1.2325445665471506,0.5
72,2.6393196644072736,27,0.16738250669545374,0.8545744373023315,95.91836734693878,1.6764902865876086,0.5
25,5.859311492748744,39,0.010335753395601423,0.8417062815988802,94.89795918367346,1.4517207211847085,0.5
42,1.0283725987393468,32,0.15155732029489627,0.019997518607840936,93.87755102040816,1.399201322553902,0.5
55,5.601851933872508,48,0.1324498004720152,0.9253043997161491,92.85714285714286,1.2395774478366035,0.5
70,1.3948048112271887,36,0.10306504526387172,0.4769680971619098,91.83673469387755,1.6566685967819976,0.5
49,4.965520992379088,48,0.12332991819811119,0.19732037777880806,90.81632653061224,1.7820714834163007,0.5
73,1.1752906556909308,47,0.1819240880187528,0.11784409029719678,89.79591836734694,1.2480670275937968,0.5
64,1.222796923819103,18,0.13559329129786607,0.7449312680553377,88.77551020408163,1.3459428231571828,0.5
88,7.808320795311593,24,0.1751710719204589,0.21274037007480862,87.75510204081633,1.23366058764103,0.5
48,6.376718138782804,15,0.09022669181463411,0.22398416530538612,86.73469387755102,1.837806899140091,0.5
83,7.847383359360455,37,0.08435420679494295,0.6630946601371063,85.71428571428571,1.7226246281861666,0.5
30,2.1185197446459254,31,0.07190376753783011,0.613286422463175,84.6938775510204,1.5616212762732877,0.5
37,3.3286895334276103,48,0.1628887538263031,0.9026161437034409,83.6734693877551,1.546746715998406,0.5
74,7.081147304695177,42,0.12262631874125068,0.5187205757931104,82.65306122448979,1.3253406252179865,0.5
51,6.299998223554846,35,0.02359032083099759,0.7961102021563672,81.63265306122449,1.538668871599224,0.5
80,2.34500217404486,28,0.009094471339640853,0.31067496710689635,80.61224489795919,1.3995135176027418,0.5
44,1.4833591323582351,13,0.11623473474442583,0.49843532414229985,79.59183673469389,1.3926619265038154,0.5
47,7.522284439988636,29,0.1435521978253999,0.269365516827346,78.57142857142857,1.8534620412845024,0.5
31,6.575805936035501,41,0.14200869600297197,0.8441286022175143,77.55102040816327,1.4003512679306622,0.5
31,1.0972671858351122,31,0.06370370812163036,0.7462469228034849,76.53061224489795,1.7357220785498082,0.5
37,3.35661560623723,31,0.16622122018136962,0.7735393295527009,75.51020408163265,1.2648607719355272,0.5
75,4.182167453400918,27,0.14240018848599625,0.3176743467619748,74.48979591836735,1.8478476634111185,0.5
89,7.567653946155146,30,0.145123569549883,0.5915138559532771,73.46938775510205,1.8869929353803643,0.5
70,2.1067164032058,11,0.08306792638878109,0.26577332855093183,72.44897959183673,1.9279451838868507,0.5
67,1.8243602111192034,10,0.19402112316278097,0.08217531841062964,71.42857142857143,1.5089988748300331,0.5
64,7.000191930313272,22,0.015547514548551966,0.08004243470550665,70.40816326530611,1.8784572087592997,0.5
62,3.1763551045363387,37,0.16509604249359464,0.2153559135167391,69.38775510204081,1.7865086530017569,0.5
51,5.87015160505822,49,0.15817570181228457,0.6247007799841814,68.36734693877551,1.7298856165503442,0.5
68,6.911324347907268,39,0.15215107013929507,0.6781666873597141,67.34693877551021,1.4553995570119942,0.5
89,2.45306580945996,10,0.06376536304882051,0.5250803536114356,66.3265306122449,1.469469445797198,0.5
53,2.643699392545238,11,0.03763686153675101,0.15586701691190918,65.3061224489796,1.3601976325274743,0.5
67,5.882531329956947,11,0.19995001563788625,0.3871776940413897,64.28571428571428,1.4628397951287968,0.5
52,3.9751300471675695,34,0.022629930705658753,0.3619251281029432,63.265306122448976,1.4196166680643072,0.5
84,6.679953000901506,34,0.11853505809277212,0.8954078610013055,62.244897959183675,1.2670138516615432,0.5
66,2.5592455186337704,14,0.09735808387235155,0.1353274470442709,61.224489795918366,1.2813657963404421,0.5
78,4.247263646781857,43,0.08935714965405997,0.8672007838137616,60.20408163265306,1.8292576952321866,0.5
48,3.6104310520070904,25,0.039676085936492744,0.3207311031377157,59.183673469387756,1.6843144868744644,0.5
58,1.2624082453196903,48,0.008743153753560407,0.10077810952096344,58.16326530612245,1.3366741730035796,0.5
69,6.185739839885729,27,0.006810014919471441,0.19309643065941684,57.14285714285714,1.884640452246381,0.5
44,5.1591771494244405,37,0.1890899667249078,0.9132154342057178,56.12244897959184,1.6927196107511833,0.5
20,7.19108921421927,10,0.11009372075988905,0.4711662892476274,55.10204081632653,1.5994484386165007,0.5
82,3.3153035378467908,43,0.14652905329854213,0.8136797550437689,54.08163265306122,1.702524237557246,0.5
92,6.855015814948211,23,0.00016453420353459427,0.3880349730357848,53.06122448979592,1.6364644923317642,0.5
53,4.340078058237865,37,0.053482290529019275,0.09592968168546556,52.04081632653061,1.5312569107809335,0.5
33,5.155790257936256,46,0.004289382115211149,0.13713260215594636,51.0204081632653,1.4263134193560625,0.5
81,1.4374079706952243,21,0.005018431343419772,0.6714386862945994,50.0,1.2065772174071663,0.5
