Time,Bandwidth,CPU_Load,Task_Size,Mobility,Cache_Occupancy,Residual_Energy,Local_CPU,Tx_Power
0,61,4.943017524918775,33,0.2721322493846353,0.3486659872917294,100.0,1.7090660945487164,0.5
1,24,3.6979155177794127,46,0.6476901205413623,0.09617655109142076,98.9795918367347,1.4003694548844672,0.5
2,81,1.1117637655414994,44,0.0005203769953158188,0.940523264489604,97.95918367346938,1.671896678048435,0.5
3,70,2.616256779355043,49,0.352568856334169,0.3975720210875223,96.93877551020408,1.9831142866200073,0.5
4,30,2.687178262182082,31,0.30478125815802903,0.5177513505274801,95.91836734693878,1.589393722367564,0.5
5,92,5.782844631778207,36,0.16465585314294173,0.837710105907328,94.89795918367346,1.9248790301748433,0.5
6,96,5.269976604478346,44,0.534089419375442,0.6756901170392807,93.87755102040816,1.547515492408343,0.5
7,84,6.83236438215315,10,0.4848299713589832,0.7352161192407721,92.85714285714286,1.4800627261557404,0.5
8,84,2.2135525745544045,44,0.6924360328902703,0.20907162073771368,91.83673469387755,1.7160826896244519,0.5
9,97,3.7374242530126853,46,0.2694123337985215,0.5414479738275658,90.81632653061224,1.7351392477304797,0.5
10,33,2.2756526145164364,23,0.24412552224777417,0.6957843993450822,89.79591836734694,1.8913340520575224,0.5
11,12,6.287529872223567,12,0.16829104217293056,0.22855002179729966,88.77551020408163,1.3841482145932442,0.5
12,31,3.9760911214387127,10,0.21876421957307024,0.17495492709593619,87.75510204081633,1.5993547039078018,0.5
13,62,2.455591640077322,14,0.5581020020173412,0.9821683433294356,86.73469387755102,1.6576033593673465,0.5
14,11,4.97390229473994,35,0.4038361710580408,0.5166358912710143,85.71428571428571,1.8148432114450472,0.5
15,97,1.21919304718891,23,0.06489224710898156,0.260829174830409,84.6938775510204,1.234883017403547,0.5
16,39,6.89599342216499,48,0.2539154139343447,0.9962536997579243,83.6734693877551,1.9956404086378727,0.5
17,47,4.14827893358836,36,0.2468760628386012,0.9654193512887936,82.65306122448979,1.5759556111927544,0.5
18,11,3.7660516520127008,18,0.6963042728397884,0.5582934536070976,81.63265306122449,1.4236482734374067,0.5
19,73,7.48661206055656,24,0.712270589924442,0.8826363431893397,80.61224489795919,1.9067952178130072,0.5
20,69,6.090903970994946,24,0.1480869299533999,0.18870710834137938,79.59183673469389,1.798175019117931,0.5
21,30,3.2857853816408475,35,0.9977404850489419,0.2788713525921819,78.57142857142857,1.9624574776191626,0.5
22,42,4.993107820837796,22,0.266781014275285,0.7003578299727713,77.55102040816327,1.464600243736411,0.5
23,85,4.645839820180766,41,0.9766149558326529,0.8466611422383059,76.53061224489795,1.642211973468392,0.5
24,67,7.728204170445444,48,0.4110370133182313,0.8563242918780924,75.51020408163265,1.6578339753366707,0.5
25,31,6.91173694074706,41,0.033050732900548385,0.4045081271221901,74.48979591836735,1.9842652669728365,0.5
26,98,6.231240770961666,13,0.345071248026683,0.8877700987609598,73.46938775510205,1.2602770048049026,0.5
27,58,4.777844926723558,39,0.6343513447013638,0.8509284487675127,72.44897959183673,1.4445576154297455,0.5
28,68,5.107258159646937,46,0.6807054515547668,0.9356349942209475,71.42857142857143,1.3527288249202767,0.5
29,51,7.756787150848966,32,0.5309345833171364,0.7853406511139436,70.40816326530611,1.4147798855121254,0.5
30,69,5.249239733806792,48,0.44778316457309164,0.6689882547142286,69.38775510204081,1.5882238994210525,0.5
31,89,2.9319942741578036,24,0.552893089071328,0.5806866214364547,68.36734693877551,1.4981494936752393,0.5
32,24,3.0739145399285768,38,0.5926967238793935,0.3722827665617431,67.34693877551021,1.5157531734475778,0.5
33,71,2.1568685734410176,45,0.08085332633271525,0.9401334424577784,66.3265306122449,1.8753705125810491,0.5
34,71,1.1094548471883576,22,0.36965445606140446,0.9736638367553173,65.3061224489796,1.9440134678486656,0.5
35,56,3.9638103649445875,41,0.24215993827742588,0.2839209747374657,64.28571428571428,1.256332904679635,0.5
36,71,3.764170627228988,16,0.8031397563798959,0.30536386034439345,63.265306122448976,1.367134974092288,0.5
37,60,3.0544172230262667,31,0.4703006344460384,0.4856137535862266,62.244897959183675,1.7369148134592405,0.5
38,64,1.0985587590055912,37,0.983423140894843,0.44842414298624733,61.224489795918366,1.486917425036931,0.5
39,73,2.391896828621636,11,0.39882444244455306,0.9944574626108207,60.20408163265306,1.403330919255791,0.5
40,12,5.97939366924055,15,0.8164318732193839,0.17592525267734538,59.183673469387756,1.436232470735151,0.5
41,60,6.53122878371844,37,0.7983451249845511,0.018075363615520867,58.16326530612245,1.4580406113908804,0.5
42,16,5.241719823467079,37,0.15071754396542947,0.4938937151834346,57.14285714285714,1.8789358359397395,0.5
43,30,7.484106149593443,29,0.5081987767407187,0.1788227092213288,56.12244897959184,1.309297065153623,0.5
44,82,5.557539178513611,39,0.6958128067908819,0.3664687845828599,55.10204081632653,1.767128797528095,0.5
45,48,7.404717728806466,20,0.8583588048137198,0.7441705230565623,54.08163265306122,1.6422559815263262,0.5
46,27,6.950270044528595,37,0.32595890520188475,0.7209399242521293,53.06122448979592,1.4372081149182387,0.5
47,13,4.1461547189674235,34,0.2202410475655483,0.3080607918523892,52.04081632653061,1.5358246851570212,0.5
48,98,1.6678708154328792,48,0.7111495324380178,0.5425402305548993,51.0204081632653,1.4049655548755664,0.5
49,69,3.5957277653878643,42,0.8095010461397154,0.50881407683876,50.0,1.6892109686925445,0.5
